title,platform,genre,rating
Nioh 2: The Complete Edition,Windows PC,"Blood and Gore, Suggestive Themes, Violence",Mature 17+
Terminator: Resistance Enhanced,PlayStation 5,"Blood, Sexual Content, Strong Language, Violence",Mature 17+
AKIBA'S TRIP: Hellbound & Debriefed,"Windows PC, PlayStation 4, Nintendo Switch","Blood, Sexual Themes, Strong Language, Violence",Mature 17+
Crash Bandicoot™ 4: It’s About Time,"Windows PC, PlayStation 5, Nintendo Switch","Alcohol Reference, Cartoon Violence, Comic Mischief, Language",Everyone 10+
NEOGEO POCKET COLOR SELECTION Vol. 1,Nintendo Switch,"Fantasy Violence, Mild Blood, Suggestive Themes",Teen
FINAL FANTASY VII REMAKE INTERGRADE,PlayStation 5,"Blood, Language, Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
Call of Duty®: Black Ops Cold War,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Mature 17+
BUSTAFELLOWS,Nintendo Switch,"Blood, Drug Reference, Strong Language, Suggestive Themes, Violence",Mature 17+
Necromunda: Hired Gun,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence",Mature 17+
Observer: System Redux,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Drugs",Mature 17+
STAR WARS™ Republic Commando™,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood and Gore, Violence",Teen
Haven,"PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence, Partial Nudity, Sexual Themes, Use of Drugs",Mature 17+
Maid of Sker,PlayStation 5,"Blood and Gore, Strong Language, Violence",Mature 17+
Foreclosed,"PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series","Blood, Strong Language, Violence",Mature 17+
